[0, 0, 0]
         400	        7253
        2643	        1567
        2632	        1265
        5144	        5779
        5139	        6090
        1812	        4786
        1521	        4774
        5950	        2384
        6231	        2329

[10, 0, 0]
           3	          -7
         264	         150
        7290	          -2
        7492	        -235
        7703	        7285
        7461	        7106
         179	        7470
         400	        7253
        2643	        1567
        2632	        1265
        5144	        5779
        5139	        6090
        1812	        4786
        1521	        4774
        5950	        2384
        6231	        2329

[11, 0, 0]
           2	          -6
         264	         149
        7289	          -3
        7494	        -234
        7702	        7285
        7462	        7105
         166	        7461
         406	        7262
        2862	        1561
        2858	        1257
        4933	        5769
        4914	        6084
        1802	        4560
        1499	        4549
        5960	        2620
        6271	        2530

[12, 0, 0]
           2	          -6
         264	         149
        7289	          -3
        7494	        -234
        7702	        7285
        7462	        7105
         166	        7461
         406	        7262
        2862	        1561
        2858	        1257
        4933	        5769
        4914	        6084
        1802	        4560
        1499	        4549
        5960	        2620
        6271	        2530

[13, 0, 0]
           2	          -5
         266	         148
        7289	          -2
        7492	        -236
        7702	        7287
        7463	        7104
         186	        7476
         405	        7264
        3072	        1550
        3091	        1253
        4725	        5787
        4707	        6093
        1797	        4334
        1508	        4327
        5976	        2827
        6283	        2767

[14, 0, 0]
           2	          -5
         266	         148
        7289	          -2
        7492	        -236
        7702	        7287
        7463	        7104
         186	        7476
         405	        7264
        3072	        1550
        3091	        1253
        4725	        5787
        4707	        6093
        1797	        4334
        1508	        4327
        5976	        2827
        6283	        2767

[15, 0, 0]
           3	          -6
         265	         149
        7289	          -2
        7491	        -236
        7703	        7287
        7463	        7105
         197	        7504
         402	        7279
        3296	        1572
        3318	        1261
        4485	        5797
        4511	        6103
        1825	        4138
        1512	        4121
        6005	        3039
        6301	        2986

[16, 0, 0]
           3	          -6
         265	         149
        7289	          -2
        7491	        -236
        7703	        7287
        7463	        7105
         197	        7504
         402	        7279
        3296	        1572
        3318	        1261
        4485	        5797
        4511	        6103
        1825	        4138
        1512	        4121
        6005	        3039
        6301	        2986

[17, 0, 0]
           4	          -6
         264	         149
        7289	          -2
        7491	        -236
        7702	        7287
        7463	        7104
         177	        7503
         390	        7283
        3522	        1602
        3533	        1287
        4279	        5809
        4291	        6109
        1817	        3913
        1512	        3910
        6015	        3274
        6315	        3219

[18, 0, 0]
           4	          -6
         264	         149
        7289	          -2
        7491	        -236
        7702	        7287
        7463	        7104
         177	        7503
         390	        7283
        3522	        1602
        3533	        1287
        4279	        5809
        4291	        6109
        1817	        3913
        1512	        3910
        6015	        3274
        6315	        3219

[19, 0, 0]
           3	          -6
         265	         149
        7289	          -2
        7491	        -237
        7702	        7287
        7462	        7105
         159	        7461
         402	        7276
        3734	        1604
        3751	        1296
        4063	        5791
        4057	        6103
        1844	        3679
        1550	        3686
        6045	        3485
        6360	        3448

[20, 0, 0]
           3	          -6
         265	         149
        7289	          -2
        7491	        -237
        7702	        7287
        7462	        7105
         159	        7461
         402	        7276
        3734	        1604
        3751	        1296
        4063	        5791
        4057	        6103
        1844	        3679
        1550	        3686
        6045	        3485
        6360	        3448

[21, 0, 0]
           4	          -6
         265	         150
        7290	          -2
        7490	        -238
        7702	        7288
        7462	        7104
         194	        7462
         417	        7253
        3965	        1587
        3967	        1282
        3867	        5765
        3847	        6066
        1853	        3436
        1553	        3422
        6048	        3663
        6340	        3651

[22, 0, 0]
           4	          -6
         265	         150
        7290	          -2
        7490	        -238
        7702	        7288
        7462	        7104
         194	        7462
         417	        7253
        3965	        1587
        3967	        1282
        3867	        5765
        3847	        6066
        1853	        3436
        1553	        3422
        6048	        3663
        6340	        3651

[23, 0, 0]
           4	          -6
         264	         151
        7291	          -1
        7491	        -238
        7701	        7287
        7463	        7104
         204	        7491
         395	        7245
        4171	        1575
        4184	        1269
        3624	        5787
        3618	        6094
        1857	        3210
        1551	        3208
        6039	        3893
        6354	        3857

[24, 0, 0]
           4	          -6
         264	         151
        7291	          -1
        7491	        -238
        7701	        7287
        7463	        7104
         204	        7491
         395	        7245
        4171	        1575
        4184	        1269
        3624	        5787
        3618	        6094
        1857	        3210
        1551	        3208
        6039	        3893
        6354	        3857

[25, 0, 0]
           4	          -7
         263	         152
        7291	          -2
        7491	        -238
        7702	        7287
        7462	        7104
         189	        7488
         393	        7256
        4363	        1599
        4389	        1298
        3391	        5787
        3382	        6103
        1892	        2989
        1589	        2994
        6046	        4121
        6355	        4083

[26, 0, 0]
           4	          -7
         263	         152
        7291	          -2
        7491	        -238
        7702	        7287
        7462	        7104
         189	        7488
         393	        7256
        4363	        1599
        4389	        1298
        3391	        5787
        3382	        6103
        1892	        2989
        1589	        2994
        6046	        4121
        6355	        4083

[27, 0, 0]
           4	          -6
         264	         150
        7291	          -2
        7491	        -237
        7702	        7286
        7462	        7105
         207	        7493
         395	        7245
        4566	        1621
        4612	        1311
        3178	        5768
        3145	        6074
        1837	        2781
        1554	        2747
        6004	        4334
        6333	        4299

[28, 0, 0]
           4	          -6
         264	         150
        7291	          -2
        7491	        -237
        7702	        7286
        7462	        7105
         207	        7493
         395	        7245
        4566	        1621
        4612	        1311
        3178	        5768
        3145	        6074
        1837	        2781
        1554	        2747
        6004	        4334
        6333	        4299

[29, 0, 0]
           4	          -6
         264	         150
        7291	          -1
        7490	        -238
        7702	        7287
        7462	        7105
         202	        7478
         381	        7229
        4815	        1644
        4847	        1346
        2949	        5766
        2921	        6071
        1897	        2543
        1597	        2514
        6032	        4555
        6343	        4518

[30, 0, 0]
           4	          -6
         264	         150
        7291	          -1
        7490	        -238
        7702	        7287
        7462	        7105
         202	        7478
         381	        7229
        4815	        1644
        4847	        1346
        2949	        5766
        2921	        6071
        1897	        2543
        1597	        2514
        6032	        4555
        6343	        4518

[31, 0, 0]
           4	          -6
         265	         150
        7290	          -2
        7491	        -238
        7702	        7287
        7462	        7104
         177	        7466
         391	        7244
        5031	        1665
        5077	        1369
        2750	        5742
        2714	        6040
        1904	        2309
        1611	        2285
        6043	        4786
        6360	        4759

[32, 0, 0]
           4	          -6
         265	         150
        7290	          -2
        7491	        -238
        7702	        7287
        7462	        7104
         177	        7466
         391	        7244
        5031	        1665
        5077	        1369
        2750	        5742
        2714	        6040
        1904	        2309
        1611	        2285
        6043	        4786
        6360	        4759

[33, 0, 0]
           4	          -7
         264	         150
        7291	          -2
        7491	        -237
        7702	        7287
        7462	        7104
         171	        7464
         396	        7246
        5258	        1671
        5292	        1363
        2516	        5712
        2510	        6029
        1924	        2064
        1615	        2065
        6069	        4988
        6388	        4965

[34, 0, 0]
           4	          -7
         264	         150
        7291	          -2
        7491	        -237
        7702	        7287
        7462	        7104
         171	        7464
         396	        7246
        5258	        1671
        5292	        1363
        2516	        5712
        2510	        6029
        1924	        2064
        1615	        2065
        6069	        4988
        6388	        4965
